Title,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Updated Years
FBI,60,"Action, Crime, Drama","Missy Peregrym, Zeeko Zaki, Jeremy Sisto, Ebonee Noel",6.8,11497,2018
The Americans,44,"Crime, Drama, Mystery","Keri Russell, Matthew Rhys, Keidrich Sellati, Holly Taylor",8.4,87570,2013
Gotham,42,"Action, Crime, Drama","Ben McKenzie, Jada Pinkett Smith, Donal Logue, Camren Bicondova",7.8,214918,2014
Monk,44,"Comedy, Crime, Drama","Tony Shalhoub, Jason Gray-Stanford, Ted Levine, Traylor Howard",8,67242,2002
How to Get Away with Murder,43,"Crime, Drama, Mystery","Viola Davis, Billy Brown, Jack Falahee, Aja Naomi King",8.1,134288,2014
One Tree Hill,60,"Drama, Romance, Sport","Chad Michael Murray, James Lafferty, Hilarie Burton, Bethany Joy Lenz",7.7,73211,2003
The Leftovers,60,"Drama, Fantasy, Mystery","Justin Theroux, Amy Brenneman, Christopher Eccleston, Liv Tyler",8.3,83870,2014
Çukur,120,"Action, Crime, Thriller","Aras Bulut Iynemli, Riza Kocaoglu, Cem Uslu, Ertugrul Aytaç Usun",7.4,11695,2017
Good Witch,48,"Comedy, Drama, Fantasy","Catherine Bell, Catherine Disher, James Denton, Kylee Evans",7.3,7983,2015
Van Helsing,43,"Action, Drama, Fantasy","Kelly Overton, Jonathan Scarfe, Aleks Paunovic, Rukiya Bernard",6.2,18844,2016
Doom Patrol,60,"Action, Adventure, Comedy","Diane Guerrero, April Bowlby, Matt Bomer, Brendan Fraser",7.9,36985,2019
What We Do in the Shadows,30,"Comedy, Fantasy, Horror","Kayvan Novak, Matt Berry, Natasia Demetriou, Harvey Guillén",8.5,40152,2019
Rizzoli & Isles,60,"Crime, Drama, Mystery","Angie Harmon, Sasha Alexander, Jordan Bridges, Bruce McGill",7.6,30512,2010
Mom,30,"Comedy, Drama, Romance","Allison Janney, Anna Faris, Mimi Kennedy, Beth Hall",7.2,29855,2013
Jane the Virgin,60,Comedy,"Gina Rodriguez, Andrea Navedo, Yael Grobglas, Justin Baldoni",7.8,40669,2014
Girl From Nowhere,45,"Crime, Drama, Fantasy","Chicha Amatayakul, Tris Ren, Naomi Amante, Rich Ting",7.7,2267,2018
Boardwalk Empire,55,"Crime, Drama, History","Steve Buscemi, Kelly Macdonald, Michael Shannon, Shea Whigham",8.5,175133,2010
Pretty Little Liars,44,"Drama, Mystery, Romance","Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell",7.4,154731,2010
Six Feet Under,55,"Comedy, Drama","Peter Krause, Michael C. Hall, Frances Conroy, Lauren Ambrose",8.7,123860,2001
L.A.'s Finest,60,"Action, Comedy, Crime","Jessica Alba, Gabrielle Union, Duane Martin, Zach Gilford",6,4864,2019
White Collar,40,"Comedy, Crime, Drama","Matt Bomer, Tim DeKay, Willie Garson, Tiffani Thiessen",8.2,121025,2009
The Man in the High Castle,60,"Drama, Sci-Fi, Thriller","Alexa Davalos, Luke Kleintank, Rufus Sewell, Rupert Evans",8,90559,2015
